"rsid"	"pval_method1"
"rs243"	0.27713502
"rs244"	0.98415442
"rs245"	0.66320129
"rs246"	0.00790639
"rs247"	0.83555079
"rs248"	0.64228619
"rs249"	0.10436905
"rs250"	0.1069657
"rs251"	0.57017157
"rs252"	0.90969142
"rs253"	0.71648238
"rs254"	0.37878757
"rs255"	0.58227018
"rs256"	0.04705685
"rs257"	0.92531385
"rs258"	0.7771282
"rs259"	0.41864267
"rs260"	0.104055
"rs261"	0.07249839
"rs262"	0.71607933
"rs263"	0.40074724
"rs264"	0.53262077
"rs265"	0.25438093
"rs266"	0.57968262
"rs267"	0.1648394
"rs268"	0.78846021
"rs269"	0.0501635
"rs270"	0.18669204
"rs271"	0.85697302
"rs272"	0.00335476
"rs273"	0.97308518
"rs274"	0.10306575
"rs275"	0.70202455
"rs276"	0.19587719
"rs277"	0.25226279
"rs278"	0.25540176
"rs279"	0.88452164
"rs280"	0.9401021
"rs281"	0.79302955
"rs282"	0.74820069
"rs283"	0.3903513
"rs284"	0.9388873
"rs285"	0.68067864
"rs286"	0.83944867
"rs287"	0.28498616
"rs288"	0.41962818
"rs289"	0.06443553
"rs290"	0.18437377
"rs291"	0.92135989
"rs292"	0.65907385
"rs293"	0.68491344
"rs294"	0.53729233
"rs295"	0.82985845
"rs296"	0.48187329
"rs297"	0.09633023
"rs298"	0.13787108
"rs299"	0.83565668
"rs300"	0.3327051
"rs301"	0.06942359
"rs302"	0.67570933
"rs303"	0.79619655
"rs304"	0.92230581
"rs305"	0.61128806
"rs306"	0.83978832
"rs307"	0.86311823
"rs308"	0.96803253
"rs309"	0.68308847
"rs310"	0.85018573
"rs311"	0.19879405
"rs312"	0.07568312
"rs313"	0.93048545
"rs314"	0.8925654
"rs315"	0.42776908
"rs316"	0.5959392
"rs317"	0.56775377
"rs318"	0.54211219
"rs319"	0.7329332
"rs320"	0.3865251
"rs321"	0.82920346
"rs322"	0.59652152
"rs323"	0.29672351
"rs324"	0.92316939
"rs325"	0.39617224
"rs326"	0.91897715
"rs327"	0.96000268
"rs328"	0.35866933
"rs329"	0.48738408
"rs330"	0.6059867
"rs331"	0.35579785
"rs332"	0.35519275
"rs333"	0.56138247
"rs334"	0.10828489
"rs335"	0.41257074
"rs336"	0.75844393
"rs337"	0.05757552
"rs338"	0.48709022
"rs339"	0.23547552
"rs340"	0.30816648
"rs341"	0.71263441
"rs342"	0.2896205
"rs343"	0.68329857
"rs344"	0.91730803
"rs345"	0.5227979
"rs346"	0.95169645
"rs347"	0.80860917
"rs348"	0.66662904
"rs349"	0.43304571
"rs350"	0.99443426
"rs351"	0.39515167
"rs352"	0.32453694
"rs353"	0.33700909
"rs354"	0.99548221
"rs355"	0.54483269
"rs356"	0.55490269
"rs357"	0.12889453
"rs358"	0.1462299
"rs359"	0.51031655
"rs360"	0.1954754
"rs361"	0.5456868
"rs362"	0.36118697
"rs363"	0.75966912
"rs364"	0.61823017
"rs365"	0.35073245
"rs366"	0.1317403
"rs367"	0.38188628
"rs368"	0.91655409
"rs369"	0.7695446
"rs370"	0.24969172
"rs371"	0.51571318
"rs372"	0.79694265
"rs373"	0.87951752
"rs374"	0.21211894
"rs375"	0.03496986
"rs376"	0.9413442
"rs377"	0.60857634
"rs378"	0.09668064
"rs379"	0.17613159
"rs380"	0.50858305
"rs381"	0.39249748
"rs382"	0.54620748
"rs383"	0.70851929
"rs384"	0.99553258
"rs385"	0.9546624
"rs386"	0.07690042
"rs387"	0.80848484
"rs388"	0.57273271
"rs389"	0.81343518
"rs390"	0.26952216
"rs391"	0.26605527
"rs392"	0.48666288
"rs393"	0.60989936
"rs394"	0.3502061
"rs395"	0.09833088
"rs396"	0.36913832
"rs397"	0.50282383
"rs398"	0.85531069
"rs399"	0.49396832
"rs400"	0.25497513
"rs401"	0.05103487
"rs402"	0.43795624
"rs403"	0.04064128
"rs404"	0.23926213
"rs405"	0.51346031
"rs406"	0.54789903
"rs407"	0.25532065
"rs408"	0.5498327
"rs409"	0.84250051
"rs410"	0.14885909
"rs411"	0.43006324
"rs412"	0.47077143
"rs413"	0.23383131
"rs414"	0.55577193
"rs415"	0.00278536
"rs416"	0.56318218
"rs417"	0.26964995
"rs418"	0.43670342
"rs419"	0.54385054
"rs420"	0.33584879
"rs421"	0.08118273
"rs422"	0.32917387
"rs423"	0.76214727
"rs424"	0.84351048
"rs425"	0.31106894
"rs426"	0.92603753
"rs427"	0.07600762
"rs428"	0.91504745
"rs429"	0.93711068
"rs430"	0.94497079
"rs431"	0.53749419
"rs432"	0.76558378
"rs433"	0.4212155
"rs434"	0.61292141
"rs435"	0.49723952
"rs436"	0.50996624
"rs437"	0.07432063
"rs438"	0.2337164
"rs439"	0.72305157
"rs440"	0.86987145
"rs441"	0.23998474
"rs442"	0.34272826
"rs443"	0.22196254
"rs444"	0.66257013
"rs445"	0.14682129
"rs446"	0.77351282
"rs447"	0.32232065
"rs448"	0.32068516
"rs449"	0.48053958
"rs450"	0.29976069
"rs451"	0.73294174
"rs452"	0.63187837
"rs453"	0.9736696
"rs454"	0.77310502
"rs455"	0.75312504
"rs456"	0.38781106
"rs457"	0.96921066
"rs458"	0.82298942
"rs459"	0.16947722
"rs460"	0.65955867
"rs461"	0.94668333
"rs462"	0.40168516
"rs463"	0.29098017
"rs464"	0.06938106
"rs465"	0.44684962
"rs466"	0.81008932
"rs467"	0.77518932
"rs468"	0.86598192
"rs469"	0.08823947
"rs470"	0.90838553
"rs471"	0.67095677
"rs472"	0.3324319
"rs473"	0.74165002
"rs474"	0.9265161
"rs475"	0.82776848
"rs476"	0.68546746
"rs477"	0.84662398
"rs478"	0.97615531
"rs479"	0.59800344
"rs480"	0.31542731
"rs481"	0.25301042
"rs482"	0.69324
"rs483"	0.9640576
"rs484"	0.89475437
"rs485"	0.00216853
"rs486"	0.36757726
"rs487"	0.81471691
"rs488"	0.30674851
"rs489"	0.61798582
"rs490"	0.32275808
"rs491"	0.07133081
"rs492"	0.8368461
"rs493"	0.05165042
"rs494"	0.52128398
"rs495"	0.33737607
"rs496"	0.01412504
"rs497"	0.57248798
"rs498"	0.89254532
"rs499"	0.1037859
"rs500"	0.36250008
"rs501"	0.36340805
"rs502"	0.91093094
"rs503"	0.88451626
"rs504"	0.88620272
"rs505"	0.60354925
"rs506"	0.97126896
"rs507"	0.14779216
"rs508"	0.03622351
"rs509"	0.94140457
"rs510"	0.94293856
"rs511"	0.5244913
"rs512"	0.12265812
"rs513"	0.28073015
"rs514"	0.77317371
"rs515"	0.24249303
"rs516"	0.22177272
"rs517"	0.08390742
"rs518"	0.0824152
"rs519"	0.37347268
"rs520"	0.45126758
"rs521"	0.96715482
"rs522"	0.50128122
"rs523"	0.93410373
"rs524"	0.91223826
"rs525"	0.75068938
"rs526"	0.18533031
"rs527"	0.25711617
"rs528"	0.07799079
"rs529"	0.13777827
"rs530"	0.58081429
"rs531"	0.27157663
"rs532"	0.9545194
"rs533"	0.88836515
"rs534"	0.2569527
"rs535"	0.81873919
"rs536"	0.3961113
"rs537"	0.05790411
"rs538"	0.00136564
"rs539"	0.74587177
"rs540"	0.63182505
"rs541"	0.33812629
"rs542"	0.29177689
"rs543"	0.06651842
"rs544"	0.7296545
"rs545"	0.06600459
"rs546"	0.1079266
"rs547"	0.6162527
"rs548"	0.94206524
"rs549"	0.57618549
"rs550"	0.34046662
"rs551"	0.46101045
"rs552"	0.98211456
"rs553"	0.95510293
"rs554"	0.32259246
"rs555"	0.63981792
"rs556"	0.71521593
"rs557"	0.77388498
"rs558"	0.57870932
"rs559"	0.68632497
"rs560"	0.03047461
"rs561"	0.79010606
"rs562"	0.29645725
"rs563"	0.77401021
"rs564"	0.33424622
"rs565"	0.15788207
"rs566"	0.45732873
"rs567"	0.1631656
"rs568"	0.53520409
"rs569"	0.64334881
"rs570"	0.91445368
"rs571"	0.03993856
"rs572"	0.98960473
"rs573"	0.01144134
"rs574"	0.01398238
"rs575"	0.4934091
"rs576"	0.19960253
"rs577"	0.32029663
"rs578"	0.12502105
"rs579"	0.70082202
"rs580"	0.24957183
"rs581"	0.40933108
"rs582"	0.84405528
"rs583"	0.07927785
"rs584"	0.22565454
"rs585"	0.8800723
"rs586"	0.32641799
"rs587"	0.39475803
"rs588"	0.63430192
"rs589"	0.28278867
"rs590"	0.76520756
"rs591"	0.320697
"rs592"	0.55222717
"rs593"	0.11153001
"rs594"	0.98173051
"rs595"	0.56778814
"rs596"	0.5439992
"rs597"	0.93850243
"rs598"	0.89728896
"rs599"	0.05996958
"rs600"	0.61078112
"rs601"	0.39603428
"rs602"	0.13999305
"rs603"	0.54386756
"rs604"	0.75377203
"rs605"	0.25823999
"rs606"	0.54537885
"rs607"	0.3443752
"rs608"	0.00360911
"rs609"	0.6023287
"rs610"	0.41160755
"rs611"	0.04485762
"rs612"	0.74700698
"rs613"	0.1727332
"rs614"	0.22078738
"rs615"	0.93774939
"rs616"	0.89176543
"rs617"	0.20668947
"rs618"	0.18474418
"rs619"	0.82521892
"rs620"	0.93985091
"rs621"	0.72785525
"rs622"	0.42017645
"rs623"	0.39469281
"rs624"	0.95066291
"rs625"	0.85162871
"rs626"	0.99542051
"rs627"	0.99906802
"rs628"	0.62889537
"rs629"	0.03905319
"rs630"	0.06924765
"rs631"	0.39799297
"rs632"	0.24814061
"rs633"	0.61121819
"rs634"	0.96960792
"rs635"	0.91722053
"rs636"	0.7635941
"rs637"	0.6201015
"rs638"	0.47236908
"rs639"	0.21736396
"rs640"	0.64251762
"rs641"	0.92463292
"rs642"	0.80964791
"rs643"	0.94997033
"rs644"	0.80906431
"rs645"	0.55326612
"rs646"	0.27958034
"rs647"	0.02470471
"rs648"	0.75775956
"rs649"	0.69256798
"rs650"	0.54423267
"rs651"	0.18685473
"rs652"	0.68162138
"rs653"	0.25307195
"rs654"	0.69730246
"rs655"	0.26335566
"rs656"	0.39393619
"rs657"	0.91103667
"rs658"	0.39392593
"rs659"	0.44692501
"rs660"	0.05357424
"rs661"	0.6591782
"rs662"	0.70427247
"rs663"	0.79962928
"rs664"	0.97010857
"rs665"	0.43457118
"rs666"	0.28153384
"rs667"	0.12088414
"rs668"	0.54286084
"rs669"	0.49542963
"rs670"	0.69691766
"rs671"	0.78301602
"rs672"	0.43377258
"rs673"	0.06623287
"rs674"	0.72812037
"rs675"	0.97445443
"rs676"	0.23719786
"rs677"	0.56988541
"rs678"	0.79609186
"rs679"	0.00968518
"rs680"	0.19714468
"rs681"	0.83667063
"rs682"	0.78516134
"rs683"	0.64049165
"rs684"	0.76951021
"rs685"	0.91302179
"rs686"	0.85030862
"rs687"	0.34404656
"rs688"	0.35093435
"rs689"	0.34979606
"rs690"	0.76962051
"rs691"	0.12806916
"rs692"	0.32173301
"rs693"	0.54216496
"rs694"	0.87038707
"rs695"	0.14113164
"rs696"	0.07950753
"rs697"	0.75600026
"rs698"	0.63067056
"rs699"	0.91719709
"rs700"	0.34410379
"rs701"	0.7895918
"rs702"	0.01825644
"rs703"	0.62303963
"rs704"	0.72277094
"rs705"	0.85016465
"rs706"	0.30383637
"rs707"	0.30231666
"rs708"	0.67815199
"rs709"	0.15629177
"rs710"	0.65619127
"rs711"	0.87174009
"rs712"	0.22875439
"rs713"	0.0327998
"rs714"	0.50658648
"rs715"	0.80019662
"rs716"	0.68312274
"rs717"	0.44918831
"rs718"	0.04339831
"rs719"	0.89824022
"rs720"	0.42407438
"rs721"	0.02811595
"rs722"	0.33336181
"rs723"	0.83351796
"rs724"	0.7863028
"rs725"	0.42455819
"rs726"	0.47242688
"rs727"	0.60822945
"rs728"	0.31542338
"rs729"	0.49971129
"rs730"	0.78627382
"rs731"	0.33727205
"rs732"	0.0002173
"rs733"	0.26049906
"rs734"	0.57038268
"rs735"	0.8436985
"rs736"	0.88577818
"rs737"	0.49369889
"rs738"	0.75767646
"rs739"	0.9531138
"rs740"	0.33845101
"rs741"	0.53814973
"rs742"	0.44429538
"rs743"	0.23775738
"rs744"	0.20788052
"rs745"	0.97334932
"rs746"	0.45726156
"rs747"	0.60849306
"rs748"	0.80167632
"rs749"	0.53586017
"rs750"	0.34401741
"rs751"	0.43003569
"rs752"	0.19786555
"rs753"	0.44228511
"rs754"	0.09703275
"rs755"	0.11331957
"rs756"	0.51020136
"rs757"	0.92968083
"rs758"	0.6159853
"rs759"	0.06299088
"rs760"	0.60809613
"rs761"	0.74041395
"rs762"	0.2676259
"rs763"	0.24953657
"rs764"	0.9795871
"rs765"	0.04164164
"rs766"	0.03228972
"rs767"	0.79904249
"rs768"	0.06328011
"rs769"	0.58512157
"rs770"	0.95250601
"rs771"	0.76378883
"rs772"	0.78283078
"rs773"	0.84091288
"rs774"	0.88857955
"rs775"	0.92371383
"rs776"	0.78747217
"rs777"	0.63424196
"rs778"	0.27884433
"rs779"	0.99384413
"rs780"	0.10133472
"rs781"	0.11829094
"rs782"	0.20458695
"rs783"	0.65284431
"rs784"	0.38583351
"rs785"	0.46142374
"rs786"	0.16774939
"rs787"	0.33969862
"rs788"	0.18686104
"rs789"	0.42671888
"rs790"	0.99369332
"rs791"	0.27293292
"rs792"	0.7509636
"rs793"	0.08292261
"rs794"	0.45723633
"rs795"	0.12226089
"rs796"	0.68195415
"rs797"	0.03804834
"rs798"	0.08688036
"rs799"	0.15997705
"rs800"	0.44774675
"rs801"	0.61394878
"rs802"	0.56450963
"rs803"	0.71177225
"rs804"	0.85824462
"rs805"	0.88436424
"rs806"	0.12368362
"rs807"	0.48252007
"rs808"	0.44832568
"rs809"	0.08743926
"rs810"	0.57680756
"rs811"	0.4815201
"rs812"	0.07046323
"rs813"	0.3436105
"rs814"	0.53377327
"rs815"	0.6397913
"rs816"	0.59418935
"rs817"	0.12770191
"rs818"	0.69588944
"rs819"	0.57492815
"rs820"	0.12579626
"rs821"	0.27353649
"rs822"	0.25216557
"rs823"	0.11835214
"rs824"	0.42759346
"rs825"	0.60978383
"rs826"	0.45243632
"rs827"	0.46329262
"rs828"	0.74515777
"rs829"	0.939642
"rs830"	0.77614059
"rs831"	0.9585135
"rs832"	0.76797809
"rs833"	0.10989187
"rs834"	0.38368653
"rs835"	0.7135479
"rs836"	0.61271116
"rs837"	0.2832987
"rs838"	0.46508737
"rs839"	0.82915996
"rs840"	0.10036287
"rs841"	0.32155742
"rs842"	0.48342356
"rs843"	0.93091332
"rs844"	0.54636186
"rs845"	0.77354626
"rs846"	0.52288424
"rs847"	0.1843607
"rs848"	0.17537462
"rs849"	0.19345611
"rs850"	0.02242571
"rs851"	0.54301955
"rs852"	0.35317038
"rs853"	0.09903469
"rs854"	0.38517485
"rs855"	0.14803329
"rs856"	0.31189346
"rs857"	0.84611285
"rs858"	0.30766979
"rs859"	0.616013
"rs860"	0.20606581
"rs861"	0.0012097
"rs862"	0.69847622
"rs863"	0.60447011
"rs864"	0.59896073
"rs865"	0.8837516
"rs866"	0.12683689
"rs867"	0.95630851
"rs868"	0.75248783
"rs869"	0.94389797
"rs870"	0.16475611
"rs871"	0.44245804
"rs872"	0.96239127
"rs873"	0.59347135
"rs874"	0.23590124
"rs875"	0.62341533
"rs876"	0.63724664
"rs877"	0.22308093
"rs878"	0.11535674
"rs879"	0.29566957
"rs880"	0.59255445
"rs881"	0.33889373
"rs882"	0.41242013
"rs883"	0.53178384
"rs884"	0.97526553
"rs885"	0.2084364
"rs886"	0.22636877
"rs887"	0.46414989
"rs888"	0.99528638
"rs889"	0.83107486
"rs890"	0.07514667
"rs891"	0.88965133
"rs892"	0.39353859
"rs893"	0.38730495
"rs894"	0.28105859
"rs895"	0.39226431
"rs896"	0.04428778
"rs897"	0.47872048
"rs898"	0.41409365
"rs899"	0.62222977
"rs900"	0.5536776
"rs901"	0.55179127
"rs902"	0.86839087
"rs903"	0.29409387
"rs904"	0.97910728
"rs905"	0.45262023
"rs906"	0.98600172
"rs907"	0.42463721
"rs908"	0.13334844
"rs909"	0.21083675
"rs910"	0.28512607
"rs911"	0.23905736
"rs912"	0.94968672
"rs913"	0.39728011
"rs914"	0.14845748
"rs915"	0.55299831
"rs916"	0.92442861
"rs917"	0.18462312
"rs918"	0.90215335
"rs919"	0.66618441
"rs920"	0.37716006
"rs921"	0.10489292
"rs922"	0.14771511
"rs923"	0.21715819
"rs924"	0.07813802
"rs925"	0.94841291
"rs926"	0.49126864
"rs927"	0.95105152
"rs928"	0.56692544
"rs929"	0.06593357
"rs930"	0.71972761
"rs931"	0.59728761
"rs932"	0.6530957
"rs933"	0.53533518
"rs934"	0.0470999
"rs935"	0.55793428
"rs936"	0.5128886
"rs937"	0.20800634
"rs938"	0.34814818
"rs939"	0.2348969
"rs940"	0.71861019
"rs941"	0.44656715
"rs942"	0.07505008
"rs943"	0.43433872
"rs944"	0.11081505
"rs945"	0.53190331
"rs946"	0.77722467
"rs947"	0.49525462
"rs948"	0.67668561
"rs949"	0.92706363
"rs950"	0.59566265
"rs951"	0.65161132
"rs952"	0.82286747
"rs953"	0.25916022
"rs954"	0.75467669
"rs955"	0.28752514
"rs956"	0.26767221
"rs957"	0.01030584
"rs958"	0.65767426
"rs959"	0.32525303
"rs960"	0.4988232
"rs961"	0.41141396
"rs962"	0.28768363
"rs963"	0.78534972
"rs964"	0.4217318
"rs965"	0.00294737
"rs966"	0.24569969
"rs967"	0.75977448
"rs968"	0.84361332
"rs969"	0.13194398
"rs970"	0.43781095
"rs971"	0.02515801
"rs972"	0.76241247
"rs973"	0.93286041
"rs974"	0.59018211
"rs975"	0.67576476
"rs976"	0.53391261
"rs977"	0.32309018
"rs978"	0.81822967
"rs979"	0.26205668
"rs980"	0.61166924
"rs981"	0.7104331
"rs982"	0.14117389
"rs983"	0.86117299
"rs984"	0.09582411
"rs985"	0.97377694
"rs986"	0.42375033
"rs987"	0.04544077
"rs988"	0.78228798
"rs989"	0.97361128
"rs990"	0.81501842
"rs991"	0.50451078
"rs992"	0.33235442
"rs993"	0.31282009
"rs994"	0.11225628
"rs995"	0.38076857
"rs996"	0.07609422
"rs997"	0.93971193
"rs998"	0.12158804
"rs999"	0.32303228
"rs1000"	0.03146255
"rs1001"	0.52526392
"rs1002"	0.9900175
"rs1003"	0.71102188
"rs1004"	0.2027512
"rs1005"	0.53815376
"rs1006"	0.46086848
"rs1007"	0.91077525
"rs1008"	0.64172507
"rs1009"	0.20505135
"rs1010"	0.1306116
"rs1011"	0.72298643
"rs1012"	0.96934823
"rs1013"	0.78135951
"rs1014"	0.30310269
"rs1015"	0.6825359
"rs1016"	0.45268998
"rs1017"	0.20462718
"rs1018"	0.79696331
"rs1019"	0.70928656
"rs1020"	0.85992131
"rs1021"	0.82873017
"rs1022"	0.41188388
"rs1023"	0.56179136
"rs1024"	0.73601568
"rs1025"	0.72302471
"rs1026"	0.12180377
"rs1027"	0.53698696
"rs1028"	0.52744368
"rs1029"	0.87665432
"rs1030"	0.19051696
"rs1031"	0.03444006
"rs1032"	0.61737856
"rs1033"	0.58293779
"rs1034"	0.50260988
"rs1035"	0.16684033
"rs1036"	0.12074929
"rs1037"	0.25145251
"rs1038"	0.70559145
"rs1039"	0.74021592
"rs1040"	0.13575947
"rs1041"	0.45174734
"rs1042"	0.37926726
"rs1043"	0.4426265
"rs1044"	0.25612393
"rs1045"	0.50069565
"rs1046"	0.55389621
"rs1047"	0.55697834
"rs1048"	0.28940039
"rs1049"	0.23171321
"rs1050"	0.81483269
"rs1051"	0.30631519
"rs1052"	0.09884153
"rs1053"	0.72696354
"rs1054"	0.72768944
"rs1055"	0.52353053
"rs1056"	0.18837704
"rs1057"	0.46483593
"rs1058"	0.48949836
"rs1059"	0.18191266
"rs1060"	0.88369446
"rs1061"	0.20965789
"rs1062"	0.96916096
"rs1063"	0.24353788
"rs1064"	0.32415076
"rs1065"	0.90591656
"rs1066"	0.96330073
"rs1067"	0.04561236
"rs1068"	0.89071371
"rs1069"	0.96554878
"rs1070"	0.79705903
"rs1071"	0.40894241
"rs1072"	0.88901316
"rs1073"	0.77436657
"rs1074"	0.36264876
"rs1075"	0.77580749
"rs1076"	0.91653673
"rs1077"	0.6035042
"rs1078"	0.17562457
"rs1079"	0.62257244
"rs1080"	0.97623229
"rs1081"	0.84736417
"rs1082"	0.42770962
"rs1083"	0.61643111
"rs1084"	0.38195932
"rs1085"	0.88422461
"rs1086"	0.41418936
"rs1087"	0.63149735
"rs1088"	0.63771222
"rs1089"	0.98102736
"rs1090"	0.92465726
"rs1091"	0.44833396
"rs1092"	0.37331615
"rs1093"	0.20338868
"rs1094"	0.60958293
"rs1095"	0.14793408
"rs1096"	0.11459845
"rs1097"	0.57456792
"rs1098"	0.46988533
"rs1099"	0.39079543
"rs1100"	0.04293593
"rs1101"	0.67728388
"rs1102"	0.63002977
"rs1103"	0.11173229
"rs1104"	0.56418268
"rs1105"	0.04648694
"rs1106"	0.89594277
"rs1107"	0.17516814
"rs1108"	0.67379694
"rs1109"	0.8169129
"rs1110"	0.48350444
"rs1111"	0.33651303
"rs1112"	0.14200051
"rs1113"	0.82217403
"rs1114"	0.29570277
"rs1115"	0.08655972
"rs1116"	0.39516168
"rs1117"	0.6908627
"rs1118"	0.88595208
"rs1119"	0.43092557
"rs1120"	0.88484366
"rs1121"	0.10265086
"rs1122"	0.01434731
"rs1123"	0.25900721
"rs1124"	0.25792567
"rs1125"	0.3474718
"rs1126"	0.85698546
"rs1127"	0.16819518
"rs1128"	0.33853243
"rs1129"	0.96296421
"rs1130"	0.3092472
"rs1131"	0.59137419
"rs1132"	0.9499887
"rs1133"	0.45445749
"rs1134"	0.75131724
"rs1135"	0.95381679
"rs1136"	0.42586924
"rs1137"	0.9934522
"rs1138"	0.83947967
"rs1139"	0.88100577
"rs1140"	0.31952229
"rs1141"	0.86745042
"rs1142"	0.77023879
"rs1143"	0.43229934
"rs1144"	0.05863773
"rs1145"	0.49117788
"rs1146"	0.04944068
"rs1147"	0.75010146
"rs1148"	0.02343293
"rs1149"	0.47922908
"rs1150"	0.55626036
"rs1151"	0.35564241
"rs1152"	0.7622375
